"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 11:54:24 GMT 2022","Tue Oct 04 11:54:37 GMT 2022","13516","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and chosse euro from currency drop-down and find cost in euro",""
"passed","Tue Oct 04 11:54:51 GMT 2022","Tue Oct 04 11:55:46 GMT 2022","54657","","Verify clickability buttons","","","","should open solutions drop-down menu and click contack center button, then click phone calss button and go back, then click text messages button and go back. and click browser-based comms button",""
"passed","Tue Oct 04 11:54:13 GMT 2022","Tue Oct 04 11:54:24 GMT 2022","10914","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and find cost in usd",""
"passed","Tue Oct 04 11:56:55 GMT 2022","Tue Oct 04 11:56:58 GMT 2022","2651","","Verify tabs on home page without login","","","","should hover on Solution tab and open drop-down menu",""
"passed","Tue Oct 04 11:56:45 GMT 2022","Tue Oct 04 11:56:50 GMT 2022","4223","","Verify tabs on home page without login","","","","should hover on Company tab and open drop-down menu",""
"passed","Tue Oct 04 11:56:05 GMT 2022","Tue Oct 04 11:56:14 GMT 2022","9384","","Verify home page button","","","","should click about u button and than click home page button",""
"passed","Tue Oct 04 11:56:58 GMT 2022","Tue Oct 04 11:57:01 GMT 2022","3439","","Verify tabs on home page without login","","","","should hover on Resource tab and open drop-down menu",""
"passed","Tue Oct 04 11:56:27 GMT 2022","Tue Oct 04 11:56:35 GMT 2022","8369","","Verify seaarch input ","","","","should open resource drop-down menu and click Blog button,then type t the input field 'number pool' and click enter",""
"passed","Tue Oct 04 11:56:50 GMT 2022","Tue Oct 04 11:56:53 GMT 2022","2845","","Verify tabs on home page without login","","","","should hover on Pricing tab and open drop-down menu",""
"passed","Tue Oct 04 11:52:58 GMT 2022","Tue Oct 04 11:53:16 GMT 2022","17970","","Verify saving calculator","","","","should open resource drop-down menu and click Saving calculator,then choose Messaging Api button cnd click continue button, then type '1' to the Local Numbers input and type '1' to the Toll-free Numbers and click continue button again",""
"passed","Tue Oct 04 11:53:50 GMT 2022","Tue Oct 04 11:54:00 GMT 2022","10478","","Negative Log In tests","","","","should login with invalid password",""
"passed","Tue Oct 04 11:56:53 GMT 2022","Tue Oct 04 11:56:55 GMT 2022","2747","","Verify tabs on home page without login","","","","should hover on Products tab and open drop-down menu",""
"passed","Tue Oct 04 11:57:02 GMT 2022","Tue Oct 04 11:57:06 GMT 2022","4946","","Verify tabs on home page without login","","","","should click on RNetwork tab and redirect to network page",""
"passed","Tue Oct 04 11:53:35 GMT 2022","Tue Oct 04 11:53:50 GMT 2022","14882","","Negative Log In tests","","","","should login with invalid email",""
